country,target,exp_var,cont_var
Denmark,85.28856,57161.6863893418,100.267669677734
Denmark,85.17028,56178.7746299825,100.523910522461
Denmark,84.5806,55356.680780178,101.268089294434
Denmark,84.59517,54185.0084787703,101.804832458496
Denmark,84.50938,52892.6460290247,101.456443786621
Djibouti,60.49674,5534.76617152744,75.2879409790039
Djibouti,58.38141,5214.07218666426,70.2976913452148
Djibouti,50.88048,4885.20503911992,69.5962371826172
Djibouti,47.15118,4709.52388928192,69.3829574584961
Djibouti,44.26206,4488.80265798112,70.1320419311523
Dominica,60.54797,11905.8705154398,100.375762939453
Dominica,60.54557,11537.0190725758,110.431198120117
Dominica,61.66778,11304.0433278877,110.431198120117
Dominica,61.23575,12154.7514389872,114.726623535156
Dominica,61.48672,11873.7418376836,116.191207885742
Dominican Republic,59.98867,18412.8999875519,112.228210449219
Dominican Republic,59.32073,17711.7955337583,105.69864654541
Dominican Republic,59.12432,16735.3644228294,107.799812316895
Dominican Republic,57.699,16166.6115259959,110.298751831055
Dominican Republic,57.90154,15328.3595089817,111.40535736084
Ecuador,57.7227,11370.603299072,101.197547912598
Ecuador,57.6141,11561.747853143,103.267951965332
Ecuador,57.49538,11617.9122190573,103.534942626953
Ecuador,57.52173,11551.6159731776,104.934959411621
Ecuador,57.10316,11896.3751614302,107.683837890625
"Egypt, Arab Rep.",60.05364,11763.2532849551,106.409561157227
"Egypt, Arab Rep.",58.51399,11366.3355206681,106.284927368164
"Egypt, Arab Rep.",55.79763,11014.4864791744,106.13346862793
"Egypt, Arab Rep.",55.47428,10795.8087418385,105.393577575684
"Egypt, Arab Rep.",54.70209,10570.4452319757,106.05538368225125
El Salvador,65.25247,8796.06206368967,90.312629699707
El Salvador,64.92118,8614.01795915499,94.8271102905273
El Salvador,64.70983,8454.05555134378,96.1506423950195
El Salvador,62.65253,8309.44179938698,99.8004531860352
El Salvador,62.40213,8143.22444194766,102.657569885254
Estonia,80.61685,36399.9292208916,97.9281921386719
